COG20_PATHWAY	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Chennai	p_Reference	N_Chennai	N_Reference
NAD biosynthesis	0	1	1	NA	COG1546	"GC_00000116, GC_00000390, GC_00001090, GC_00001693, GC_00001825, GC_00002304, GC_00002314, GC_00002621, GC_00002902"	1	1	11	20
NADH dehydrogenase	0	1	1	NA	COG1143	"GC_00000371, GC_00001579, GC_00001766, GC_00003814"	1	1	11	20
Thiamine biosynthesis	0	1	1	NA	COG0352	"GC_00000165, GC_00000599, GC_00000770, GC_00000900, GC_00002064, GC_00002668, GC_00003576"	1	1	11	20
Menaquinone biosynthesis	0	1	1	NA	COG0318	"GC_00000195, GC_00000785, GC_00000904, GC_00001159, GC_00001388, GC_00001690, GC_00001756, GC_00001820, GC_00002357, GC_00002372, GC_00002467, GC_00002524, GC_00002533, GC_00002553, GC_00002648, GC_00002710, GC_00002720, GC_00002722, GC_00002839, GC_00002934, GC_00003354, GC_00003357, GC_00003456, GC_00003517, GC_00003667, GC_00003720, GC_00003778, GC_00003993, GC_00004380, GC_00004811, GC_00005024, GC_00005049, GC_00005148, GC_00005556, GC_00006229, GC_00006424, GC_00006723, GC_00006869, GC_00006924, GC_00007288, GC_00007405, GC_00007415, GC_00007423, GC_00007817"	1	1	11	20
Lysine biosynthesisTCA cycle	0	1	1	NA	COG1048	"GC_00002036, GC_00003334"	1	1	11	20
Glycine cleavage	0	1	1	NA	COG0404	"GC_00001545, GC_00001909, GC_00002239"	1	1	11	20
Pyrimidine salvage	0	1	1	NA	COG0402	"GC_00000262, GC_00000627, GC_00001235, GC_00001541, GC_00001981, GC_00002907, GC_00003116, GC_00003331, GC_00003471, GC_00003649, GC_00005796, GC_00006701, GC_00006864"	1	1	11	20
Lipid A biosynthesis	0	1	1	NA	COG1560	"GC_00000219, GC_00000380, GC_00000766, GC_00001002, GC_00001325, GC_00001711, GC_00001724, GC_00002032, GC_00002842, GC_00003272, GC_00005869"	1	1	11	20
Ubiquinone biosynthesis	0	1	1	NA	COG2227	"GC_00000426, GC_00000756, GC_00000791, GC_00001655, GC_00001877, GC_00001984, GC_00002557, GC_00002571, GC_00002579, GC_00002586, GC_00002654, GC_00003278, GC_00003361, GC_00005379, GC_00005578, GC_00005836, GC_00005864, GC_00007229, GC_00007346, GC_00007816"	1	1	11	20
Riboflavin/FAD biosynthesis	0	1	1	NA	COG0807	"GC_00000573, GC_00001399, GC_00002172, GC_00002264, GC_00002461, GC_00006934"	1	1	11	20
Molybdopterin biosynthesis	0	1	1	NA	COG2896	"GC_00001101, GC_00001185, GC_00001216, GC_00001558, GC_00001562, GC_00002310, GC_00002960, GC_00003115, GC_00003264, GC_00003274, GC_00003349, GC_00003443, GC_00006997, GC_00007710, GC_00007764"	1	1	11	20
Glycolysis	0	1	1	NA	COG0837	"GC_00000022, GC_00000277, GC_00000945, GC_00000956, GC_00001047, GC_00001050, GC_00001533, GC_00002134, GC_00002399, GC_00002404, GC_00002483, GC_00002673, GC_00002845, GC_00003250, GC_00003718, GC_00006228, GC_00006315"	1	1	11	20
"Isoleucine, leucine, valine biosynthesis!!!Methionine biosynthesis"	0	1	1	NA	COG0440!!!COG0460	GC_00000942	1	1	11	20
Urea cycle	0	1	1	NA	COG0607	"GC_00000051, GC_00000282, GC_00000581, GC_00000604, GC_00000744, GC_00000762, GC_00001295, GC_00001575, GC_00001705, GC_00001799, GC_00003856, GC_00003973, GC_00004870, GC_00005276, GC_00005694, GC_00006039, GC_00006048, GC_00006805"	1	1	11	20
Riboflavin/FAD biosynthesis!!!Riboflavin/FAD biosynthesis	0	1	1	NA	COG0117!!!COG1985	"GC_00001968, GC_00002155"	1	1	11	20
FoF1-type ATP synthase	0	1	1	NA	COG0355	"GC_00000342, GC_00002808, GC_00002843, GC_00003183, GC_00003202, GC_00003238, GC_00003407, GC_00003494, GC_00003496, GC_00006452, GC_00007527, GC_00007831"	1	1	11	20
TCA cycle	0	1	1	NA	COG0045	"GC_00000425, GC_00000571, GC_00000711, GC_00001300, GC_00001589, GC_00001720, GC_00002261, GC_00002380, GC_00002807, GC_00002850, GC_00003210, GC_00003312, GC_00004477, GC_00005668, GC_00006016, GC_00006542, GC_00007247, GC_00007835"	1	1	11	20
Histidine biosynthesis	0	1	1	NA	COG0131	"GC_00000161, GC_00000450, GC_00000550, GC_00000628, GC_00000697, GC_00001444, GC_00002249, GC_00002886, GC_00003314, GC_00006316, GC_00006737, GC_00006947"	1	1	11	20
Na+-translocating Fd:NADH oxidoreductase	0	1	1	NA	COG4657	"GC_00000053, GC_00000379, GC_00000835, GC_00001438, GC_00001722, GC_00003299, GC_00003897, GC_00003900, GC_00003904, GC_00003979, GC_00004077"	1	1	11	20
Glutamine biosynthesis	0	1	1	NA	COG0493!!!COG1902!!!COG3631	"GC_00000100, GC_00000181, GC_00000515, GC_00000947, GC_00001067, GC_00001204, GC_00002089, GC_00002401, GC_00003242, GC_00006808"	1	1	11	20
Fatty acid biosynthesis	0	1	1	NA	COG1960	"GC_00000032, GC_00000075, GC_00000175, GC_00000211, GC_00000212, GC_00000251, GC_00000264, GC_00000269, GC_00000274, GC_00000323, GC_00000361, GC_00000432, GC_00000485, GC_00000603, GC_00000685, GC_00000902, GC_00000928, GC_00000941, GC_00000948, GC_00000996, GC_00001054, GC_00001076, GC_00001086, GC_00001130, GC_00001184, GC_00001289, GC_00001372, GC_00001376, GC_00001489, GC_00001716, GC_00001764, GC_00001791, GC_00001888, GC_00001925, GC_00002092, GC_00002105, GC_00002147, GC_00002174, GC_00002323, GC_00002330, GC_00002515, GC_00002516, GC_00002567, GC_00002693, GC_00002711, GC_00002730, GC_00002801, GC_00002810, GC_00002837, GC_00002840, GC_00002863, GC_00002894, GC_00002922, GC_00003012, GC_00003019, GC_00003033, GC_00003035, GC_00003063, GC_00003110, GC_00003313, GC_00003387, GC_00003389, GC_00003403, GC_00003485, GC_00003495, GC_00003509, GC_00003724, GC_00003974, GC_00003998, GC_00004012, GC_00004022, GC_00004044, GC_00004050, GC_00004195, GC_00004312, GC_00004381, GC_00004497, GC_00004531, GC_00004764, GC_00004779, GC_00004837, GC_00004856, GC_00004930, GC_00004976, GC_00005040, GC_00005102, GC_00005186, GC_00005205, GC_00005572, GC_00005585, GC_00005588, GC_00005692, GC_00005707, GC_00005910, GC_00005925, GC_00005946, GC_00005977, GC_00006052, GC_00006137, GC_00006221, GC_00006402, GC_00006428, GC_00006482, GC_00006568, GC_00006580, GC_00006632, GC_00006680, GC_00006849, GC_00007018, GC_00007059, GC_00007248, GC_00007305, GC_00007330, GC_00007364, GC_00007383, GC_00007391, GC_00007413, GC_00007551, GC_00007581, GC_00007657, GC_00007673, GC_00007760, GC_00007818"	1	1	11	20
Ribosome 30S subunit	0	1	1	NA	COG0238	"GC_00000290, GC_00000312, GC_00000321, GC_00000419, GC_00000501, GC_00002088, GC_00002122, GC_00002752, GC_00002755, GC_00002758, GC_00002759, GC_00002762, GC_00002763, GC_00002765, GC_00002770, GC_00002797, GC_00003003, GC_00003006, GC_00003306, GC_00003307, GC_00003310"	1	1	11	20
Proline biosynthesis	0	1	1	NA	COG0014	"GC_00001418, GC_00001662, GC_00002831, GC_00006989"	1	1	11	20
Folate biosynthesis	0	1	1	NA	COG0302	"GC_00000008, GC_00000014, GC_00001098, GC_00001661, GC_00001713, GC_00001927, GC_00002341, GC_00002878, GC_00002973, GC_00004215, GC_00004927"	1	1	11	20
tRNA modification	0	1	1	NA	COG0780!!!COG2904	"GC_00000119, GC_00000192, GC_00000452, GC_00000593, GC_00000723, GC_00000739, GC_00000780, GC_00000848, GC_00000853, GC_00000859, GC_00000906, GC_00001138, GC_00001217, GC_00001271, GC_00001307, GC_00001334, GC_00001371, GC_00001414, GC_00001424, GC_00001431, GC_00001462, GC_00001529, GC_00001623, GC_00001656, GC_00001692, GC_00001760, GC_00001815, GC_00001845, GC_00001861, GC_00001887, GC_00001926, GC_00001997, GC_00002029, GC_00002272, GC_00002611, GC_00002630, GC_00002930, GC_00002944, GC_00002958, GC_00002972, GC_00002994, GC_00003107, GC_00003268, GC_00003270, GC_00003537, GC_00003721, GC_00003938, GC_00004036, GC_00004762, GC_00004849, GC_00005235, GC_00005676, GC_00005810, GC_00005905, GC_00006635, GC_00006704, GC_00006736, GC_00006814, GC_00007168, GC_00007197, GC_00007325, GC_00007371, GC_00007584, GC_00007602, GC_00007675, GC_00007821"	1	1	11	20
Pyrimidine biosynthesis	0	1	1	NA	COG0528	"GC_00000011, GC_00000665, GC_00000822, GC_00000893, GC_00001684, GC_00001969, GC_00002077, GC_00002169, GC_00002291, GC_00002633"	1	1	11	20
Pantothenate/CoA biosynthesis	0	1	1	NA	COG0669	"GC_00000353, GC_00000625, GC_00001797, GC_00001942, GC_00001992, GC_00002383, GC_00002805, GC_00002935, GC_00003871, GC_00005921, GC_00006153"	1	1	11	20
Phospholipid biosynthesis	0	1	1	NA	COG1502	"GC_00000218, GC_00000416, GC_00000792, GC_00000864, GC_00000992, GC_00001056, GC_00001308, GC_00001453, GC_00001560, GC_00002903, GC_00002954, GC_00003339, GC_00003395, GC_00003460, GC_00004041, GC_00004062, GC_00004386, GC_00006622, GC_00007054"	1	1	11	20
Pyrimidine degradation	0	1	1	NA	COG4221	"GC_00000157, GC_00000330, GC_00000415, GC_00000707, GC_00000788, GC_00001220, GC_00001406, GC_00001688, GC_00002349, GC_00002452, GC_00002554, GC_00002564, GC_00002662, GC_00002926, GC_00002985, GC_00003075, GC_00003099, GC_00003358, GC_00003442, GC_00003562, GC_00003603, GC_00003652, GC_00003753, GC_00003863, GC_00004221, GC_00004828, GC_00005770, GC_00005963, GC_00007019, GC_00007379"	1	1	11	20
Pyridoxal phosphate biosynthesis	0	1	1	NA	COG0259	"GC_00001066, GC_00001522, GC_00001814, GC_00002311, GC_00002653, GC_00003243, GC_00003691, GC_00004255, GC_00006331, GC_00006647, GC_00006875"	1	1	11	20
Biotin biosynthesis	0	1	1	NA	COG2124	"GC_00000217, GC_00000439, GC_00000495, GC_00000834, GC_00000932, GC_00001644, GC_00001730, GC_00001776, GC_00001989, GC_00001990, GC_00002218, GC_00002275, GC_00002597, GC_00002639, GC_00002695, GC_00002875, GC_00002938, GC_00003396, GC_00003631, GC_00004130, GC_00007193, GC_00007365"	1	1	11	20
Fatty acid biosynthesis!!!Urea cycle	0	1	1	NA	COG0511!!!COG5016	"GC_00003062, GC_00003221"	1	1	11	20
23S rRNA modification	0	1	1	NA	COG1092	"GC_00000237, GC_00000314, GC_00000356, GC_00000442, GC_00001053, GC_00001096, GC_00001433, GC_00001456, GC_00001750, GC_00001919, GC_00002187, GC_00002277, GC_00002298, GC_00002492, GC_00002980, GC_00003074, GC_00003394, GC_00003402"	1	1	11	20
Non-phosphorylated Entner-Doudoroff pathway	0	1	1	NA	COG4948	"GC_00000242, GC_00000417, GC_00000776, GC_00001255, GC_00001273, GC_00001337, GC_00002110, GC_00002440, GC_00002634, GC_00002708, GC_00002745, GC_00002957, GC_00003144, GC_00003145, GC_00003178, GC_00003479, GC_00003543, GC_00003705, GC_00003712, GC_00003725, GC_00003733, GC_00003854, GC_00004519, GC_00005143, GC_00005942, GC_00006111, GC_00006560, GC_00006942"	1	1	11	20
"Isoleucine, leucine, valine biosynthesis"	0	1	1	NA	COG0129	"GC_00000018, GC_00000126, GC_00000536, GC_00000673, GC_00000881, GC_00000963, GC_00001557, GC_00001710, GC_00001931, GC_00002044, GC_00002243, GC_00002305, GC_00002367, GC_00002473, GC_00002600, GC_00002645, GC_00002901, GC_00003009, GC_00003150, GC_00003208, GC_00003226, GC_00003390, GC_00003965, GC_00004270, GC_00004304, GC_00006370, GC_00006497, GC_00006522, GC_00007198, GC_00007596"	1	1	11	20
Glycine cleavagePyruvate oxidation	0	1	1	NA	COG1249	"GC_00000795, GC_00002014, GC_00002453, GC_00002999, GC_00004185, GC_00006812"	1	1	11	20
Purine biosynthesis!!!Purine biosynthesis	0	1	1	NA	COG0518!!!COG0519	"GC_00002170, GC_00002672"	1	1	11	20
Cysteine biosynthesis	0	1	1	NA	COG1045	"GC_00000056, GC_00000189, GC_00000797, GC_00001110, GC_00002012, GC_00002241, GC_00002448, GC_00002508, GC_00004566, GC_00004710, GC_00005254, GC_00005333, GC_00005615, GC_00005691, GC_00006027, GC_00006777, GC_00006953, GC_00007789"	1	1	11	20
Serine biosynthesis	0	1	1	NA	COG0111	"GC_00000481, GC_00000616, GC_00001617, GC_00001683, GC_00002073, GC_00002118, GC_00002888, GC_00002932, GC_00006083, GC_00006783"	1	1	11	20
Gluconeogenesis	0	1	1	NA	COG0158	"GC_00000921, GC_00000972, GC_00002085, GC_00002465, GC_00003508, GC_00004536, GC_00004893, GC_00005231, GC_00005552"	1	1	11	20
"TCA cycle, glyoxylate bypass"	0	1	1	NA	COG2225	"GC_00000016, GC_00003240"	1	1	11	20
Entner-Doudoroff pathway	0	1	1	NA	COG0800	GC_00000017	1	1	11	20
Aromatic amino acid biosynthesis!!!Aromatic amino acid biosynthesis	0	1	1	NA	COG0077!!!COG1605	"GC_00000354, GC_00001772"	1	1	11	20
Mureine biosynthesis	0	1	1	NA	COG0472	"GC_00000607, GC_00000658, GC_00001726, GC_00001783, GC_00001947, GC_00002446, GC_00002534, GC_00002620, GC_00002635, GC_00002688, GC_00002782, GC_00002924, GC_00003464, GC_00004288"	1	1	11	20
Lysine biosynthesis	0	1	1	NA	COG0189	"GC_00000483, GC_00000849, GC_00000884, GC_00001024, GC_00001428, GC_00001513, GC_00001556, GC_00001593, GC_00001715, GC_00001729, GC_00001964, GC_00002203, GC_00002451, GC_00002691, GC_00002777, GC_00002804, GC_00002937, GC_00003190, GC_00003369, GC_00003716, GC_00004201, GC_00005735, GC_00005843, GC_00005939, GC_00007183"	1	1	11	20
Threonine biosynthesis	0	1	1	NA	COG2334	"GC_00000769, GC_00001580, GC_00002288"	1	1	11	20
Purine biosynthesis	0	1	1	NA	COG0027	"GC_00000247, GC_00000659, GC_00000827, GC_00001028, GC_00001370, GC_00002050, GC_00002177, GC_00002217, GC_00002280, GC_00002343, GC_00002511, GC_00002870, GC_00003008, GC_00003230, GC_00005868, GC_00005889, GC_00007625"	1	1	11	20
Methionine biosynthesis	0	1	1	NA	COG2021	"GC_00000146, GC_00000509, GC_00001633, GC_00001987, GC_00002370, GC_00002727, GC_00007713"	1	1	11	20
16S rRNA modification	0	1	1	NA	COG0357	"GC_00001303, GC_00001323, GC_00001327, GC_00001422, GC_00001423, GC_00001512, GC_00001606, GC_00001784, GC_00001804, GC_00001812, GC_00001889, GC_00001894, GC_00002684, GC_00003140, GC_00003298, GC_00003563, GC_00007442"	1	1	11	20
Lipoate biosynthesis	0	1	1	NA	COG0321	"GC_00000360, GC_00001160, GC_00003703"	1	1	11	20
Heme biosynthesis	0	1	1	NA	COG0113	"GC_00000649, GC_00000714, GC_00001242, GC_00001252, GC_00001309, GC_00001374, GC_00001430, GC_00001740, GC_00001832, GC_00001901, GC_00002013, GC_00002015, GC_00002289, GC_00002392, GC_00002717, GC_00003022, GC_00004068, GC_00005930"	1	1	11	20
Glycine cleavage!!!Glycine cleavage	0	1	1	NA	COG0403!!!COG1003	GC_00001416	1	1	11	20
Arginine biosynthesis	0	1	1	NA	COG0078	"GC_00000720, GC_00001023, GC_00001547, GC_00001759, GC_00001838, GC_00001851, GC_00002191, GC_00002251, GC_00002393, GC_00002588, GC_00002874, GC_00003087, GC_00003228, GC_00003301, GC_00003338, GC_00004091, GC_00004232, GC_00004926, GC_00006068, GC_00006572, GC_00007752"	1	1	11	20
Pyrimidine salvagetRNA modification	0	1	1	NA	COG0590	"GC_00001667, GC_00002163"	1	1	11	20
Pentose phosphate pathway	0	1	1	NA	COG0364	"GC_00000010, GC_00000715, GC_00001450, GC_00001505, GC_00001506, GC_00001805, GC_00002476, GC_00003514, GC_00005543"	1	1	11	20
Ribosome 50S subunit	0	1	1	NA	COG1825	"GC_00000139, GC_00000285, GC_00000295, GC_00000325, GC_00000326, GC_00000438, GC_00002083, GC_00002108, GC_00002141, GC_00002229, GC_00002256, GC_00002749, GC_00002750, GC_00002753, GC_00002756, GC_00002757, GC_00002761, GC_00002768, GC_00002772, GC_00002773, GC_00002781, GC_00002787, GC_00003182, GC_00003185, GC_00003186, GC_00003187, GC_00003188, GC_00003189, GC_00003191, GC_00003192, GC_00003200, GC_00003206, GC_00003895"	1	1	11	20
RNA polymerase	0	1	1	NA	COG1595	"GC_00000110, GC_00000297, GC_00000339, GC_00000510, GC_00001202, GC_00001647, GC_00002148, GC_00002258, GC_00003324, GC_00003347, GC_00003364, GC_00003409, GC_00003557, GC_00004009, GC_00004109, GC_00004241, GC_00004841, GC_00005354, GC_00006092"	1	1	11	20
Thymidylate biosynthesis	0	1	1	NA	COG0756	"GC_00000407, GC_00000749, GC_00001139, GC_00002390, GC_00002764, GC_00002852, GC_00004892"	1	1	11	20
Purine salvage	0	1	1	NA	COG0503	"GC_00000660, GC_00000667, GC_00001490, GC_00003626, GC_00005851"	1	1	11	20
Aminoacyl-tRNA synthetases	0	1	1	NA	COG0154	"GC_00000187, GC_00000231, GC_00000517, GC_00001302, GC_00001357, GC_00001440, GC_00001863, GC_00001928, GC_00002128, GC_00002309, GC_00002480, GC_00002573, GC_00002624, GC_00003090, GC_00003117, GC_00003134, GC_00003137, GC_00003138, GC_00003360, GC_00003363, GC_00003368, GC_00003379, GC_00003472, GC_00003561, GC_00005816, GC_00006554, GC_00007041, GC_00007635, GC_00007708, GC_00007762"	1	1	11	20
Na+-translocating NADH dehydrogenase	0	1	1	NA	COG2991	"GC_00000724, GC_00000927, GC_00002139, GC_00002802, GC_00002830, GC_00003023, GC_00003195, GC_00004498, GC_00004549, GC_00006468"	1	1	11	20
"Histidine biosynthesis, Purine biosynthesis"	0	1	1	NA	COG0462	"GC_00000162, GC_00002690, GC_00002978"	1	1	11	20
